"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"11794","PACS1",5000,2690,1865,3403,2982,3373,4683,3087,3947,4340,4561,5203
"11795","PACS2",449.78,241.63,373.81,417.59,200.28,171.99,626.5,346.34,611.8,511.96,752.52,539.31
"11796","PACSIN1",17,23,20,57,25,3,36,27,48,58,39,106
"11797","PACSIN2",4831,3530,2686,3808,3604,4316,2511,2928,3347,5661,3695,4660
"11798","PACSIN3",3,3,0,0,2,0,0,0,3,2,2,1
"11799","PADI1",0,0,0,0,0,0,0,0,0,0,0,0
"11800","PADI2",5881,8262,6970,6370,2077,7869,4064,7163,4678,10392,8016,8882
"11801","PADI3",2,0,0,0,0,1,0,0,0,0,0,0
"11802","PADI4",6651,6512,4994,3307,3724,4382,2683,6139,2310,6063,7189,4638
"11803","PADI6",19,21,9,1,10,12,15,3,3,4,25,7
"11804","PAEP",0,0,0,0,0,0,0,0,0,0,0,0
"11805","PAF1",1593,895,925,1309,772,672,1545,1470,1443,1530,1685,1488
"11806","PAFAH1B1",4690,3308,2833,3167,3643,3238,2173,2576,3556,3970,2441,3283
"11807","PAFAH1B2",2598.72,1672.17,1326.3,2132.8,1368.13,1148.25,1639.74,1835.97,1880.71,2406.28,1594.1,1737.97
"11808","PAFAH1B3",94.98,127.67,129.58,172.64,56,31,267.7,190,194.72,160.6,377.74,186.84
"11809","PAFAH2",535.59,432.3,452.36,584.71,551.33,241.7,447.1,336.63,635.98,591.87,210.96,502.57
"11810","PAG1",3557.47,2698.17,2792.29,1790.09,2860.75,3341.61,779.94,1741.76,3221.75,3091.65,1305.43,1583.06
"11811","PAGE1",0,0,0,1,1,0,0,0,0,0,0,0
"11812","PAGE2",0,0,2,0,1.27,1.5,0,0,0,0,0,0
"11813","PAGE2B",3,1,0,13,31.73,16.5,28,3,21,4,3,6
"11814","PAGE3",0,0,0,0,0,0,0,0,0,0,0,0
"11815","PAGE4",0,0,0,0,0,0,0,0,0,0,0,0
"11816","PAGE5",2,1,0,1,4,0,6,4,5,2,4,3
"11817","PAGR1",753.5,662,477,889,437.22,261,1042.53,671,836,888,953,854
"11818","PAH",0,0,1,1,0,0,0,3,1,2,0,0
"11819","PAICS",594.72,484.23,375.71,692.54,535.65,239.7,360.17,240.8,906.99,573.42,337.74,578.89
"11820","PAIP1",1071,729,738,818,722,408,637,518,1077,954,657,862
"11821","PAIP2",7251,5031,4024,6338,5166,4623,3856,4684,5208,6027,4549,6142
"11822","PAIP2B",109,50,63,148,74,74.62,113.04,32,361,86,77.18,141.55
"11823","PAK1",10742,8479,4811,6123,6725,6806,4772,4601,6567,11850,6656,8627
"11824","PAK1IP1",323,122,173,250,190,91,155,158,326,283,185,269
"11825","PAK2",9662.43,5606,4295.77,5145.13,8367.82,8634.45,3904,4646.07,6023.4,7290.14,4636.8,5972.38
"11826","PAK3",9.35,9.73,13.23,6.9,5.78,17.05,18.17,6.5,23.7,15.21,8.21,10.01
"11827","PAK4",82.31,67.61,70.06,89.73,45.49,41.26,90.18,71.1,103.57,104.99,134.8,108.8
"11828","PAK5",0,0,0,0,0,0,0,0,0,0,0,0
"11829","PAK6",0,0,0,0,0,0,0,0,0,0,0,0
"11830","PALB2",178,98,158,165,151,124,98,82,325,171,69,170
"11831","PALD1",9,6,21,23,8,5,21,10,13,28,16,23
"11832","PALLD",134,63,84,37,203,74,52,94,58,138,86,144
"11833","PALM",4,0,5,2,4,2,21,19,25,41,2,2
"11834","PALM2AKAP2",634.1,242.65,768.24,217.01,600.58,240.8,131.59,120.01,739.01,298.34,109.18,337.53
"11835","PALM3",0,0,1,0,0,0,0,0,0,0,1,0
"11836","PALMD",0,0,1,0,0,0,0,0,0,0,0,0
"11837","PAM",1034,432,889,1359,423,314,182,398,491,498,152,353
"11838","PAM16",148.31,99.67,97.69,91.51,60.64,41.18,138.31,126.32,75.64,85.78,191.27,85.12
"11839","PAMR1",0,0,0,0,0,0,0,0,0,0,0,0
"11840","PAN2",1012,573.04,850.24,1028.09,849,1051.28,827.65,325,1686.05,981.01,564.01,1424.61
"11841","PAN3",2422,1420,1357,1565,2580,2685,1069,1125,1793,1880,871,1864
"11842","PANK1",26.92,13.27,27.66,29.57,19.05,19.01,16.2,19.05,44.66,13.97,25.27,14.08
"11843","PANK2",3305.21,2938.54,3187.54,3454.44,2588.88,1850.45,2498.06,2371.92,2709.42,4000.07,3049.82,2899.81
"11844","PANK3",1323.83,795.79,832.03,876.41,1530.17,1288.06,367.5,487.86,1259.84,1000.8,381.15,990.55
"11845","PANK4",343,339,264,453,199,249,363,208,466,418,428,484
"11846","PANX1",270,163,281,161,235,170,148,130,265,191,72,162
"11847","PANX2",224,279,175,338,192,225,334,112,174,354,373,434
"11848","PANX3",0,0,0,0,0,0,0,0,0,0,0,0
"11849","PAOX",59,27,39,94,49,21,149,63,89,104,167,115
"11850","PAPLN",136.78,64,99.76,81.49,160.93,294.03,100.58,58.47,107.06,99.35,81.29,211.87
